2,2
3,2
4,2
5,2
7,1
7,2
7,6
8,2
9,1
9,2
9,3
10,4
11,2
12,1
12,2
14,1
14,2
14,4
15,1
15,2
15,4
16,1
16,2
16,4
17,1
17,2
17,4
18,1
18,2
18,4
19,1
19,2
20,1
20,2
20,5
21,1
21,2
21,4
22,1
22,2
22,3
22,4
22,5
22,6
23,2
23,3
23,5
24,1
24,2
25,1
25,2
25,4
26,1
26,2
26,4
26,6
27,1
27,2
27,4
28,2
28,4
28,5
29,1
29,2
29,4
30,2
30,3
30,4
30,5
30,6
31,1
31,2
31,3
31,5
32,1
32,3
32,5
32,6
34,1
34,2
34,4
35,1
35,2
35,4
36,1
36,2
36,4
37,1
37,2
37,4
37,6
38,1
38,2
38,3
39,1
39,2
41,1
41,2
42,1
42,2
43,1
43,2
44,1
44,2
46,4
46,5
47,4
47,5
48,4
48,5
49,4
49,5
50,4
50,5
51,4
51,5
52,4
52,6
53,4
53,6
54,1
54,2
55,1
55,2
55,4
56,4
56,5
56,6
58,4
58,6
60,6
61,2
61,4
61,5
62,4
62,6
63,2
63,4
63,5
63,7
64,6
64,7
65,7
66,7
67,2
67,3
67,6
68,2
68,5
68,7
69,1
69,2
70,4
70,6
70,7
71,4
71,6
71,7
72,4
72,6
72,7
73,1
73,2
73,7
74,4
74,7
75,4
75,7
76,6
76,7
77,5
77,6
78,5
78,7
79,7
80,4
80,6
81,4
81,5
82,3
82,5
82,7
86,1
86,2
86,3
87,4
87,5
88,4
88,6
90,4
90,5
91,4
91,5
91,7
92,1
92,2
93,4
94,4
94,5
94,7
95,2
95,4
95,6
96,4
96,6
98,1
98,2
98,4
99,4
99,5
99,7
100,4
100,5
100,6
101,1
101,2
101,4
102,4
102,6
103,2
103,4
103,6
104,2
104,4
104,6
105,2
105,3
105,4
105,5
106,1
106,2
106,4
107,1
107,2
107,4
108,2
108,3
108,4
108,5
108,6
109,1
109,2
109,4
110,1
110,2
111,2
111,4
112,1
112,2
112,4
113,2
113,4
113,7
114,1
114,2
114,4
115,1
115,2
115,4
116,1
116,2
116,4
117,1
117,2
117,3
117,4
118,1
118,2
118,3
118,4
118,7
